n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
500,0.01,12,2,2,reg:squarederror,hist,True,71783.580837622
500,0.01,12,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,2,3,reg:squarederror,hist,True,72455.37620387888
500,0.01,12,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,2,4,reg:squarederror,hist,True,72887.8656173788
500,0.01,12,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,0,0,reg:squarederror,hist,True,65676.41791863408
500,0.03,6,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,0,1,reg:squarederror,hist,True,64447.68538335888
500,0.03,6,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,0,2,reg:squarederror,hist,True,64389.69234352929
500,0.03,6,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,0,3,reg:squarederror,hist,True,65467.20564770348
500,0.03,6,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,0,4,reg:squarederror,hist,True,65316.21054031436
500,0.03,6,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,1,0,reg:squarederror,hist,True,65708.63692837558
500,0.03,6,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,1,1,reg:squarederror,hist,True,64447.69096098904
500,0.03,6,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,1,2,reg:squarederror,hist,True,64403.560533327836
500,0.03,6,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,1,3,reg:squarederror,hist,True,65467.21249294661
500,0.03,6,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,1,4,reg:squarederror,hist,True,65316.22054094392
500,0.03,6,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,2,0,reg:squarederror,hist,True,65676.45310435307
500,0.03,6,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,2,1,reg:squarederror,hist,True,64463.75115093506
500,0.03,6,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,2,2,reg:squarederror,hist,True,64400.31281036894
500,0.03,6,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,2,3,reg:squarederror,hist,True,65436.51746892692
500,0.03,6,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,6,2,4,reg:squarederror,hist,True,65297.76095047436
500,0.03,6,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,6,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,0,0,reg:squarederror,hist,True,67844.1156550678
500,0.03,8,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,0,1,reg:squarederror,hist,True,64456.860858565415
500,0.03,8,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,0,2,reg:squarederror,hist,True,61813.69582907407
500,0.03,8,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,0,3,reg:squarederror,hist,True,63030.9050895652
500,0.03,8,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,0,4,reg:squarederror,hist,True,63510.736213525925
500,0.03,8,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,1,0,reg:squarederror,hist,True,67191.37944105825
500,0.03,8,1,0,reg:pseudohubererror,hist,True,4689940556.248134
