n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
200,0.01,5,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,2,4,reg:squarederror,hist,True,130967.46433304217
200,0.01,5,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,0,0,reg:squarederror,hist,True,115801.02445742235
200,0.01,6,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,0,1,reg:squarederror,hist,True,118423.80484811128
200,0.01,6,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,0,2,reg:squarederror,hist,True,121444.04294197666
200,0.01,6,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,0,3,reg:squarederror,hist,True,124391.26815168596
200,0.01,6,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,0,4,reg:squarederror,hist,True,127416.06273135157
200,0.01,6,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,1,0,reg:squarederror,hist,True,115636.78743044796
200,0.01,6,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,1,1,reg:squarederror,hist,True,118423.81242119588
200,0.01,6,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,1,2,reg:squarederror,hist,True,121444.05617010938
200,0.01,6,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,1,3,reg:squarederror,hist,True,124391.27410623105
200,0.01,6,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,1,4,reg:squarederror,hist,True,127416.0749886369
200,0.01,6,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,2,0,reg:squarederror,hist,True,115636.79299636045
200,0.01,6,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,2,1,reg:squarederror,hist,True,118423.82165904948
200,0.01,6,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,2,2,reg:squarederror,hist,True,121444.0577786064
200,0.01,6,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,2,3,reg:squarederror,hist,True,124391.28384198548
200,0.01,6,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,6,2,4,reg:squarederror,hist,True,127416.0822284276
200,0.01,6,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,6,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,0,0,reg:squarederror,hist,True,112584.99689004544
200,0.01,7,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,0,1,reg:squarederror,hist,True,115642.56251557464
200,0.01,7,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,0,2,reg:squarederror,hist,True,118522.48884595545
200,0.01,7,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,0,3,reg:squarederror,hist,True,122174.95728704256
200,0.01,7,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,0,4,reg:squarederror,hist,True,126044.486616683
200,0.01,7,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,1,0,reg:squarederror,hist,True,112572.1231906523
200,0.01,7,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,1,1,reg:squarederror,hist,True,115642.50382749554
200,0.01,7,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,1,2,reg:squarederror,hist,True,118522.49647256492
200,0.01,7,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,1,3,reg:squarederror,hist,True,122174.89830968293
200,0.01,7,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,1,4,reg:squarederror,hist,True,125869.68783978734
200,0.01,7,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,2,0,reg:squarederror,hist,True,112517.15401446998
200,0.01,7,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,2,1,reg:squarederror,hist,True,115642.58398235684
200,0.01,7,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,2,2,reg:squarederror,hist,True,118514.0157516842
200,0.01,7,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,2,3,reg:squarederror,hist,True,122174.91325655369
200,0.01,7,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,7,2,4,reg:squarederror,hist,True,125869.69293813413
200,0.01,7,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,7,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,0,0,reg:squarederror,hist,True,111653.29041276706
200,0.01,8,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,0,1,reg:squarederror,hist,True,115341.78312012032
200,0.01,8,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,0,2,reg:squarederror,hist,True,118000.41896579288
200,0.01,8,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,0,3,reg:squarederror,hist,True,122476.66599014841
200,0.01,8,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,0,4,reg:squarederror,hist,True,126189.82298530256
200,0.01,8,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,1,0,reg:squarederror,hist,True,111756.59807064451
200,0.01,8,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,1,1,reg:squarederror,hist,True,115244.2605893561
200,0.01,8,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,1,2,reg:squarederror,hist,True,118000.42618997408
200,0.01,8,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,1,3,reg:squarederror,hist,True,122296.92016039927
200,0.01,8,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,1,4,reg:squarederror,hist,True,126189.836174534
200,0.01,8,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,2,0,reg:squarederror,hist,True,111835.23336299554
200,0.01,8,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,2,1,reg:squarederror,hist,True,115243.65816589366
200,0.01,8,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,2,2,reg:squarederror,hist,True,118001.15305905095
200,0.01,8,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,2,3,reg:squarederror,hist,True,122296.9308484128
200,0.01,8,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,8,2,4,reg:squarederror,hist,True,126247.1252290862
200,0.01,8,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,8,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,0,0,reg:squarederror,hist,True,100588.0662719902
200,0.02,3,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,0,1,reg:squarederror,hist,True,101274.55495026591
200,0.02,3,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,0,2,reg:squarederror,hist,True,102100.91763517987
200,0.02,3,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,0,3,reg:squarederror,hist,True,102654.52413012963
200,0.02,3,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,0,4,reg:squarederror,hist,True,103940.54792924957
200,0.02,3,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,1,0,reg:squarederror,hist,True,100588.06933433411
200,0.02,3,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,1,1,reg:squarederror,hist,True,101274.55793404962
200,0.02,3,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,1,2,reg:squarederror,hist,True,102100.92076770689
200,0.02,3,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,1,3,reg:squarederror,hist,True,102654.52640525921
200,0.02,3,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,1,4,reg:squarederror,hist,True,103940.5552709322
200,0.02,3,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,2,0,reg:squarederror,hist,True,100588.07053257964
200,0.02,3,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,2,1,reg:squarederror,hist,True,101274.56122485013
200,0.02,3,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,2,2,reg:squarederror,hist,True,102100.92333846596
200,0.02,3,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,2,3,reg:squarederror,hist,True,102654.52841414665
200,0.02,3,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,3,2,4,reg:squarederror,hist,True,103940.556986754
200,0.02,3,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,3,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,0,0,reg:squarederror,hist,True,85698.9138306437
200,0.02,4,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,0,1,reg:squarederror,hist,True,86082.73945434549
200,0.02,4,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,0,2,reg:squarederror,hist,True,87009.81422895781
200,0.02,4,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,0,3,reg:squarederror,hist,True,88313.17704227351
200,0.02,4,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,0,4,reg:squarederror,hist,True,88689.20548623845
200,0.02,4,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,1,0,reg:squarederror,hist,True,85698.92260932979
200,0.02,4,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,1,1,reg:squarederror,hist,True,86082.74225073642
200,0.02,4,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,1,2,reg:squarederror,hist,True,87009.81748790113
200,0.02,4,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,1,3,reg:squarederror,hist,True,88313.1809114164
200,0.02,4,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,1,4,reg:squarederror,hist,True,88689.20434767813
200,0.02,4,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,2,0,reg:squarederror,hist,True,85698.92528118141
200,0.02,4,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,2,1,reg:squarederror,hist,True,86082.74532412685
200,0.02,4,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,2,2,reg:squarederror,hist,True,87044.97408086789
200,0.02,4,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,2,3,reg:squarederror,hist,True,88313.18175113903
200,0.02,4,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,4,2,4,reg:squarederror,hist,True,88689.2125421649
200,0.02,4,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,4,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,0,0,reg:squarederror,hist,True,77621.56224198565
200,0.02,5,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,0,1,reg:squarederror,hist,True,78377.93858614613
200,0.02,5,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,0,2,reg:squarederror,hist,True,78668.57705262183
200,0.02,5,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,0,3,reg:squarederror,hist,True,79803.95635832087
200,0.02,5,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,0,3,reg:squaredlogerror,hist,True,575992.0538345638
